ticker,type,rotates,transparent,confidence,agrees_name,source,note,name_type,phi_63,phibar_63
ADIV,equity_longonly,N,Y,medium,Y,generic,Penserra sub-adviser generic; dividend equity by name,equity_longonly,0.9842,0.9911
AMOM,equity_longonly,Y,Y,medium,Y,generic,ETC white-label generic; AI momentum rotation by name,equity_longonly,0.498,0.6673
ARKG,equity_longonly,N,Y,high,Y,adv_data/brochures/169525/text.txt Item 8,ARK thematic disruptive-innovation equity conviction book,equity_longonly,0.9463,0.9733
AVDE,equity_longonly,N,Y,medium,Y,generic,American Century/Avantis brochure text empty; systematic intl equity by name,equity_longonly,0.9617,0.9803
AVIE,equity_longonly,N,Y,medium,Y,generic,Avantis brochure text empty; inflation-focused equity by name,equity_longonly,0.9766,0.9872
AVIV,equity_longonly,N,Y,medium,Y,generic,Avantis brochure text empty; intl large-cap value by name,equity_longonly,0.9052,0.9523
AVLV,equity_longonly,N,Y,medium,Y,generic,Avantis brochure text empty; US large-cap value by name,equity_longonly,0.9393,0.9707
AVRE,equity_longonly,N,Y,medium,Y,generic,Avantis brochure text empty; US real estate REIT equity by name,equity_longonly,0.9903,0.9949
AVSC,equity_longonly,N,Y,medium,Y,generic,Avantis brochure text empty; US small-cap equity by name,equity_longonly,0.8984,0.9488
AVSD,equity_longonly,N,Y,medium,Y,generic,Avantis brochure text empty; responsible intl equity by name,equity_longonly,0.9671,0.9827
AVSE,equity_longonly,N,Y,medium,Y,generic,Avantis brochure text empty; responsible EM equity by name,equity_longonly,0.9757,0.9872
AVSU,equity_longonly,N,Y,medium,Y,generic,Avantis brochure text empty; responsible US equity by name,equity_longonly,0.9912,0.9955
AVUS,equity_longonly,N,Y,medium,Y,generic,Avantis brochure text empty; US equity by name,equity_longonly,0.9906,0.9953
AVUV,equity_longonly,N,Y,medium,Y,generic,Avantis brochure text empty; US small-cap value by name,equity_longonly,0.9313,0.9663
BEDZ,equity_longonly,U,Y,medium,Y,name,AdvisorShares Hotel thematic equity; no brochure supplied,equity_longonly,0.8398,0.9136
BKCI,equity_longonly,N,Y,high,Y,adv_data/brochures/112161/text.txt Item 5.2,Walter Scott long-only fundamental intl equity turnover under 20pct,equity_longonly,0.971,0.9851
BKGI,equity_longonly,N,Y,medium,Y,adv_data/brochures/312937/text.txt Item 8,Newton long-only equity; infrastructure income,equity_longonly,0.9432,0.9714
BLLD,equity_longonly,N,Y,medium,Y,generic,JPMIM firm brochure generic; sustainable infrastructure equity by name,equity_longonly,0.93,0.9661
BMED,equity_longonly,N,Y,medium,Y,generic,BlackRock firm brochure generic; health thematic equity by name,equity_longonly,0.8357,0.9129
BUYZ,equity_longonly,N,Y,medium,Y,generic,Franklin firm brochure generic; disruptive commerce thematic equity by name,equity_longonly,0.9468,0.9743
CWS,equity_longonly,N,Y,medium,Y,name,AdvisorShares Focused Equity concentrated buy-and-hold; no brochure supplied,equity_longonly,0.9435,0.9714
DBLV,equity_longonly,N,Y,medium,N,name,DoubleLine value equity by name; no prior name_type given,,0.9142,0.956
DFAC,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic long-only US core equity,equity_longonly,0.9906,0.9954
DFAI,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic long-only intl core equity,equity_longonly,0.9739,0.9852
DFAR,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic US real estate REIT equity,equity_longonly,0.9939,0.9968
DFAS,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic US small-cap equity,equity_longonly,0.9651,0.9826
DFAT,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic US targeted value equity,equity_longonly,0.9586,0.9802
DFAU,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic US core equity market,equity_longonly,0.9935,0.9967
DFAX,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic world ex-US core equity,equity_longonly,0.9788,0.9887
DFEM,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic EM core equity,equity_longonly,0.9868,0.9934
DFEV,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic EM value equity,equity_longonly,0.9724,0.9866
DFGR,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic global real estate REIT equity,equity_longonly,0.9952,0.9976
DFIC,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic intl core equity,equity_longonly,0.9737,0.9836
DFIV,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic intl value equity,equity_longonly,0.9812,0.9887
DFLV,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic US large-cap value equity,equity_longonly,0.9732,0.9865
DFNL,equity_longonly,N,Y,high,Y,adv_data/brochures/108674/text.txt Item 8,Davis long-only financial-services equity buy-and-hold,equity_longonly,0.9889,0.9944
DFSE,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic EM sustainability core equity,equity_longonly,0.9811,0.9906
DFSI,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic intl sustainability core equity,equity_longonly,0.9611,0.9784
DFSU,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic US sustainability core equity,equity_longonly,0.9909,0.9954
DFSV,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 8,Dimensional systematic US small-cap value equity,equity_longonly,0.9522,0.9769
DFUS,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 4/8,dimensional systematic long-term equity; no stock picking or market timing,equity_longonly,0.9926,0.9962
DFUV,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 4/8,dimensional marketwide value equity; systematic long-only,equity_longonly,0.9756,0.9878
DIHP,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 4/8,dimensional intl high profitability equity; systematic long-only,equity_longonly,0.9603,0.9802
DIVS,equity_longonly,U,Y,medium,Y,generic,penserra is generic tracking subadviser; dividend builder equity by name,equity_longonly,0.9701,0.9844
DUHP,equity_longonly,N,Y,high,Y,adv_data/brochures/106482/text.txt Item 4/8,dimensional us high profitability equity; systematic long-only,equity_longonly,0.9799,0.9905
DVAL,equity_longonly,N,Y,high,Y,adv_data/brochures/104517/text.txt Item 8,franklin/brandywine large cap value equity; no shorting,equity_longonly,0.8003,0.9001
DWEQ,equity_longonly,Y,Y,high,Y,https://www.etf.com/DWEQ,dorsey wright relative strength; monthly sector/stock rotation; looked up,equity_longonly,0.3836,0.6318
FDV,equity_longonly,U,Y,medium,Y,generic,federated enterprise brochure does not describe fund; strategic dividend equity by name,equity_longonly,0.9256,0.9625
FLLV,equity_longonly,N,Y,medium,N,https://www.etf.com/FLLV,franklin us low volatility equity; no name_type provided; looked up,,0.938,0.9676
GBUY,equity_longonly,N,Y,high,Y,adv_data/brochures/107738/text.txt Item 8,goldman future consumer thematic equity,equity_longonly,0.9282,0.9609
GDIV,equity_longonly,N,Y,high,Y,adv_data/brochures/146990/text.txt Item 8,westfield dividend growth equity; no shorting or options,equity_longonly,0.8982,0.9478
